,Age,Starts,Gls,Ast,CrdY,Shot,TotPassCmpPerc
David de Gea,27.0,38.0,0.0,0.0,1.0,0.0,65.5
Paul Pogba,25.0,34.0,13.0,9.0,6.0,96.0,81.7
Victor Lindelöf,24.0,29.0,1.0,1.0,1.0,7.0,89.3
Luke Shaw,23.0,29.0,1.0,4.0,11.0,20.0,83.5
Ashley Young,33.0,28.0,2.0,2.0,9.0,12.0,72.5
Nemanja Matić,29.0,28.0,1.0,0.0,7.0,12.0,87.9
Marcus Rashford,20.0,26.0,10.0,6.0,3.0,83.0,73.9
Chris Smalling,28.0,24.0,1.0,0.0,1.0,12.0,86.6
Romelu Lukaku,25.0,22.0,12.0,0.0,4.0,59.0,65.0
Jesse Lingard,25.0,19.0,4.0,2.0,3.0,31.0,84.8
Anthony Martial,22.0,18.0,10.0,2.0,2.0,37.0,76.5
Ander Herrera,28.0,16.0,2.0,3.0,4.0,21.0,87.3
Juan Mata,30.0,16.0,3.0,2.0,3.0,19.0,80.7
Phil Jones,26.0,15.0,0.0,1.0,1.0,5.0,92.5
Fred,25.0,13.0,1.0,1.0,2.0,17.0,85.3
Diogo Dalot,19.0,12.0,0.0,2.0,3.0,15.0,71.0
Alexis Sánchez,29.0,9.0,1.0,3.0,3.0,18.0,71.4
Scott McTominay,21.0,9.0,2.0,0.0,1.0,15.0,85.1
Eric Bailly,24.0,8.0,0.0,0.0,0.0,3.0,86.1
Marouane Fellaini,30.0,6.0,0.0,1.0,1.0,8.0,80.1
Andreas Pereira,22.0,6.0,1.0,1.0,5.0,8.0,82.5
Antonio Valencia,32.0,5.0,0.0,0.0,2.0,2.0,85.7
Matteo Darmian,28.0,5.0,0.0,0.0,0.0,1.0,85.4
Marcos Rojo,28.0,2.0,0.0,0.0,2.0,6.0,72.3
Mason Greenwood,16.0,1.0,0.0,0.0,0.0,7.0,83.6
Tahith Chong,18.0,0.0,0.0,0.0,0.0,2.0,86.7
Angel Gomes,17,0,0,0,0,2.0,87.0
James Garner,17,0,0,0,0,0.0,0.0
